pathway,process,location,function,equipment,variable group,variable name,unit,value
liquid hydrogen,preconditioning,terminal,storage,cryogenic storage,O&M cost,labor cost,$/yr,542738.181966674
liquid hydrogen,preconditioning,terminal,storage,cryogenic storage,O&M cost,labor cost,$/kg H2,0.14869539231963672
liquid hydrogen,preconditioning,liquefier,liquefaction,liquefier,energy cost,electricity cost,$/yr,6630647.687144157
liquid hydrogen,preconditioning,liquefier,liquefaction,liquefier,energy cost,electricity cost,$/kg H2,1.816615804697029
liquid hydrogen,preconditioning,terminal,pumping,loading pump,energy cost,electricity cost,$/yr,330.40599662824434
liquid hydrogen,preconditioning,terminal,pumping,loading pump,energy cost,electricity cost,$/kg H2,9.052219085705325e-05
liquid hydrogen,transport,truck,trucking,truck,energy consumption,diesel consumption,gallon/kg H2,0.009233610341643583
liquid hydrogen,transport,truck,trucking,truck,energy consumption,diesel consumption,MJ/MJ H2 (LHV),0.010429761597971871
liquid hydrogen,transport,truck,trucking,truck,emissions,energy emissions,kg CO2/kg H2,0.09399815327793168
liquid hydrogen,transport,truck,trucking,truck,emissions,energy emissions,g CO2/MJ H2 (LHV),0.7835791370284402
liquid hydrogen,transport,truck,trucking,truck,capital cost,levelized capital cost,$/yr,434385.21893585013
liquid hydrogen,transport,truck,trucking,truck,capital cost,levelized capital cost,$/kg H2,0.11900964902352058
liquid hydrogen,transport,truck,trucking,truck,O&M cost,"operation, maintenance, repair costs",$/yr,88032.86258454838
liquid hydrogen,transport,truck,trucking,truck,O&M cost,"operation, maintenance, repair costs",$/kg H2,0.024118592488917363
liquid hydrogen,transport,truck,trucking,truck,O&M cost,labor cost,$/yr,403761.95922433824
liquid hydrogen,transport,truck,trucking,truck,O&M cost,labor cost,$/kg H2,0.11061971485598308
liquid hydrogen,transport,truck,trucking,truck,energy cost,fuel cost,$/yr,203159.74145891043
liquid hydrogen,transport,truck,trucking,truck,energy cost,fuel cost,$/kg H2,0.055660203139427517
liquid hydrogen,reconditioning,refueling station,pumping,cryogenic pump,energy consumption,electricity consumption,kWh/kg H2,0.49134608850205164
liquid hydrogen,reconditioning,refueling station,pumping,cryogenic pump,energy consumption,electricity consumption,MJ/MJ H2 (LHV),0.014745297754312988
liquid hydrogen,reconditioning,refueling station,pumping,cryogenic pump,emissions,energy emissions,kg CO2/kg H2,0.11202690817846778
